team,player_name,roster_status_as_of_2026-04-28,x_handle,youtube_url,youtube_identifier,twitch_url,twitch_login,confidence,source_url,notes
Crazy Raccoon,Atom,確定,Atomu_sv,https://www.youtube.com/channel/UC8yvw5d2_e--XXt8uw0aMTg,UC8yvw5d2_e--XXt8uw0aMTg,チャンネル非所持,チャンネル非所持,medium,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://w.twstalker.com/Atomu_sv,XプロフィールにYouTubeチャンネル掲載。旧所属表記が混在するためチームはPSロスター側を優先。
Crazy Raccoon,ふえた,確定,saboten_sv,https://www.youtube.com/channel/UCNnIhUQILBeaABXyzVQMq_w,UCNnIhUQILBeaABXyzVQMq_w,チャンネル非所持,チャンネル非所持,low,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://instalker.org/prinparty,Xプロフィールに短縮URLが見つかるが展開未確認。Ririaの告知に youtube.com/channel/UCNnIh... の手がかりあり。
Crazy Raccoon,Winter,確定,msfsv,https://www.youtube.com/@Winter-r5o,@Winter-r5o,チャンネル非所持,チャンネル非所持,low,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://shadowversewbwiki.com/premier-series-player-winter/,YouTube/Twitchは今回の調査で確認できず。
Crazy Raccoon,空白,確定,Kuhaku_sv,https://www.youtube.com/@Kuhaku-q7c,@Kuhaku-q7c,チャンネル非所持,チャンネル非所持,low,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://twstalker.com/Kuhaku_sv,YouTube/Twitchは今回の調査で確認できず。
ZETA DIVISION,CQCQ,確定,cqcq_sv,https://www.youtube.com/channel/UCfB9mac5TQ4UEspzgndr3YQ,UCfB9mac5TQ4UEspzgndr3YQ,チャンネル非所持,チャンネル非所持,medium,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://digitalcreators.jp/channel/UCfB9mac5TQ4UEspzgndr3YQ/videos/aBJJKNMmo1U/; https://zetadivision.com/news/2026/04/03/42842,ZETA記事はX/Youtubeリンクあり。チャンネルIDは外部YouTube集計ページで確認。
ZETA DIVISION,ヘイム,確定,heimu_v0122v,https://www.youtube.com/@heim_sv,@heim_sv,チャンネル非所持,チャンネル非所持,low,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://w.twstalker.com/Atomu_sv,Xプロフィールに『Youtubeで定期的に配信』の記載あり、URL未確認。
ZETA DIVISION,TBT,確定,tabe_tter,https://www.youtube.com/@tabe_tter,@tabe_tter,チャンネル非所持,チャンネル非所持,low,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://ww.twstalker.com/cqcq_sv,配信告知のYouTube live URLは確認、チャンネルURL未確認。
DetonatioN FocusMe,ミル,確定,bbq_mill,https://www.youtube.com/@bbq_mill39,@bbq_mill39,チャンネル非所持,チャンネル非所持,medium,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://liver.main.jp/?cmd=presenter&twid=3234386406,ライバーユナイトにYouTube URL掲載。
DetonatioN FocusMe,ユーリ,確定,yuuri8540,https://www.youtube.com/@yuuri8540,UCLOx_0r-owX0m4hG60uKVGQ,チャンネル非所持,チャンネル非所持,medium,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://ww.twstalker.com/yuuri8540; https://liver.main.jp/?cmd=presenter&twid=3189271202,Xプロフィール/ライバーユナイトにYouTube URL掲載。
DetonatioN FocusMe,かなで,確定,komeizi_sv,https://www.youtube.com/@%E3%81%8B%E3%81%AA%E3%81%A7-s2m,@かなで-s2m,チャンネル非所持,チャンネル非所持,low,https://shadowverse-magazine.com/svwb/event/premier-series-2627/; https://search.yahoo.co.jp/realtime/search?ei=UTF-8&ifr=tl_unit&p=dfm+%E3%82%B7%E3%83%A3%E3%83%89%E3%83%90&rkf=1; https://twstalker.com/fieclaussell1,DFM契約締結は確認。YouTubeは youtube.com/channel/UCIz9H... の手がかりのみ。
